"","x"
"EOF1_Lambda",69.5629025866778
"EOF2_Lambda",1.37924603516046
"EOF3_Lambda",0.427048537493933
"EOF4_Lambda",0.140066128269553
"EOF5_Lambda",0.0978944897475879
"EOF6_Lambda",0.072095372576513
"EOF7_Lambda",0.044603539397954
"EOF8_Lambda",0.0397022653841743
"EOF9_Lambda",0.03563407734576
"EOF10_Lambda",0.0286744640650814
"EOF11_Lambda",0.0197480120498959
"EOF12_Lambda",0.0172693381027829
"EOF13_Lambda",0.0154174123762663
"EOF14_Lambda",0.0150722288400028
"EOF15_Lambda",0.0110241055918253
"EOF16_Lambda",0.0103001236748082
"EOF17_Lambda",0.00935285853999459
"EOF18_Lambda",0.00826643966167223
"EOF19_Lambda",0.00766982537789543
