"","x"
"EOF1_Lambda",69.8192761588393
"EOF2_Lambda",1.23253916071259
"EOF3_Lambda",0.383213044039731
"EOF4_Lambda",0.130506676567004
"EOF5_Lambda",0.0915260000530179
"EOF6_Lambda",0.0684190787814164
"EOF7_Lambda",0.0369489958557517
"EOF8_Lambda",0.0361583353882859
"EOF9_Lambda",0.0347427763798321
"EOF10_Lambda",0.0231971092242585
"EOF11_Lambda",0.0188795362875525
"EOF12_Lambda",0.0161758189728739
"EOF13_Lambda",0.0140580069581351
"EOF14_Lambda",0.0114424130067666
"EOF15_Lambda",0.0099644686351969
"EOF16_Lambda",0.00869873362745592
"EOF17_Lambda",0.00820454523243685
