"","x"
"EOF1_Lambda",69.5854392918783
"EOF2_Lambda",1.35669021449976
"EOF3_Lambda",0.433683835725063
"EOF4_Lambda",0.137162261339926
"EOF5_Lambda",0.0972051595314747
"EOF6_Lambda",0.0710272536403902
"EOF7_Lambda",0.0441954480338967
"EOF8_Lambda",0.0393389803160479
"EOF9_Lambda",0.0350128919746391
"EOF10_Lambda",0.028947113355311
"EOF11_Lambda",0.0194785231655193
"EOF12_Lambda",0.0172114316837273
"EOF13_Lambda",0.0151236953419319
"EOF14_Lambda",0.014856591182674
"EOF15_Lambda",0.010795458656554
"EOF16_Lambda",0.0100636635294839
"EOF17_Lambda",0.00929678713371468
"EOF18_Lambda",0.00828786660335153
"EOF19_Lambda",0.00769920393530126
